RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,e_BPmag,e_RPmag,BP-RP,EDR3Name,_x,_y,e_BP-RP
121.89322576627,-64.58304115619,2.4559,0.0204,12.499,-4.916,0.03,11.491,0.023,15.002,0.00279,0.003802,0.003998,1.4359,Gaia EDR3 5277113414794898816,-4.113248231939853,1.0290375753186818,0.00551717391424269
122.52559889351,-64.18473261471,2.6036,0.041,13.409,-6.011,0.073,11.986,0.047,16.5494,0.002841,0.009506,0.004466,2.07726,Gaia EDR3 5277149320721211520,-3.7266771397715126,1.3192307408500217,0.010502818288440489
121.56394157959,-64.3600561615,2.4097,0.0523,13.127,-5.881,0.073,11.736,0.057,16.7557,0.002863,0.008804,0.004781,2.14021,Gaia EDR3 5277167153425400704,-3.8855090929545275,0.8948551645016292,0.010018401918469831
121.65694967815,-64.33866842853,2.5685,0.1125,13.473,-5.752,0.153,12.183,0.123,18.2032,0.003191,0.04089,0.00986,2.73958,Gaia EDR3 5277167252206539008,-3.8654413628228834,0.9358295624354978,0.042061998288241136
121.45573503391,-64.3156499026,2.3519,0.0188,12.445,-5.145,0.026,11.331,0.02,12.9334,0.002814,0.003473,0.004122,0.896907,Gaia EDR3 5277170275863094912,-3.8396708207778354,0.8493741221494725,0.005390047587916084
121.63528506091,-64.15825405865,2.3519,0.0139,13.037,-3.728,0.02,12.492,0.014,13.9782,0.002767,0.002972,0.003869,1.11496,Gaia EDR3 5277178354699918848,-3.6848064170880166,0.932449274243915,0.00487872370605264
121.76159944449,-64.10937115885,2.7441,0.1325,13.759,-6.019,0.18,12.373,0.136,18.1284,0.003141,0.043028,0.007003,2.81794,Gaia EDR3 5277180034029525248,-3.6378148997519033,0.9892352156684896,0.04359416007907481
121.0393681521,-64.21184647232,2.5793,0.1436,12.896,-5.416,0.216,11.703,0.174,18.3652,0.003566,0.054229,0.007211,2.91296,Gaia EDR3 5277186046983609472,-3.731032825365127,0.6713395116266324,0.054706333838048404
122.13405243274,-64.05209480697,2.409,0.0146,12.119,-4.612,0.022,11.207,0.015,13.024,0.002796,0.003325,0.003933,0.92619,Gaia EDR3 5277203368589461760,-3.586710664470735,1.1542076241292745,0.005150156696645258
123.51085078148,-64.07438724489,2.697,0.0195,12.058,-3.08,0.03,11.658,0.023,15.0516,0.002766,0.003246,0.003877,1.5221,Gaia EDR3 5277235288786717696,-3.6397577838402597,1.7548214885354299,0.005056445886193186
123.98258593591,-63.88454913079,2.5102,0.1091,13.463,-5.537,0.187,12.271,0.116,12.3132,0.003279,0.007633,0.003798,0.827794,Gaia EDR3 5277243397684958336,-3.4638048280413636,1.973978114379986,0.00852569604196631
123.15042834971,-63.96527307046,2.4673,0.1174,13.376,-5.852,0.164,12.027,0.142,18.2987,0.003247,0.055164,0.00866,2.74292,Gaia EDR3 5277251536645289344,-3.521515844455538,1.6036106845622136,0.055839614038780745
124.6901622834,-63.43708559079,2.4126,0.047,12.287,-5.646,0.071,10.913,0.053,16.8649,0.002849,0.010062,0.004598,2.09412,Gaia EDR3 5277284182694219136,-3.0407901709125253,2.3207545556171096,0.011062795668365207
124.53726254061,-63.36211099201,2.7575,0.0094,12.433,-4.042,0.014,11.758,0.011,12.0179,0.002759,0.002821,0.00379,0.748119,Gaia EDR3 5277295865005126528,-2.9606566345466487,2.2584086810477726,0.004724631308366823
123.4828692407,-63.45500377878,2.7644,0.0447,13.254,-5.367,0.069,12.118,0.053,16.5851,0.002868,0.008383,0.004425,2.12689,Gaia EDR3 5277316343408975616,-3.020685245186831,1.7808917226211716,0.00947920429150042
123.48106851425,-63.45471387797,2.6341,0.1857,12.877,-5.494,0.266,11.646,0.203,18.5946,0.00348,0.054345,0.008902,2.65493,Gaia EDR3 5277316343410086016,-3.020346656525567,1.780106012596829,0.05506927118638851
123.18710050914,-63.47041060544,2.3396,0.0218,12.513,-4.849,0.034,11.535,0.026,13.9006,0.002791,0.003042,0.003885,1.0964,Gaia EDR3 5277318336273792384,-3.0282889774695025,1.6480048093925044,0.0049342668148368305
