  NGC 2516      7 58 49.99 -60 49.44 2000.0 3
--ID--  del_RA  del_DC    V     V-I    B-V    U-B   e(V) e(V-I)e(B-V)e(U-B)  --nobs-  BDA  Pmu FRH X HTR Ha  sp rlc Sp       name
   208 -13.788  -6.467 14.952  0.782  0.632  0.077  0.004 0.008 0.004 0.009  2 2 2 1     
   209 -13.765 -11.524 16.406  1.666  1.283  0.899  0.002 0.012 0.008 0.057  2 2 1 1     
   210 -13.731  -5.213 16.868  0.960  0.796  0.214  0.004 0.005 0.011 0.029  2 2 1 1     
   211 -13.718 -16.030 16.515  1.230  1.055  0.675  0.008 0.017 0.012 0.051  2 2 1 1     
   212 -13.640   2.477 15.618  1.144  0.984  0.669  0.001 0.002 0.005 0.007  4 4 4 2     
   213 -13.547  -8.181 14.461  0.982  0.860  0.425  0.001 0.002 0.002 0.009  2 2 2 1     
   214 -13.507  -9.502 16.417  0.993  0.860  0.484  0.012 0.013 0.013 0.037  2 2 1 1     
   215 -13.506  19.457 16.368  0.877  0.761  0.264  0.014 0.015 0.031 0.042  2 2 2 1     
   216 -13.471   2.401  9.650  0.209  0.139  0.069  0.002 0.004 0.005 0.002  2 2 2 2    8 0.99 146 X        2.0 0.0 A0V      -60 948 EO D14
   217 -13.465  17.577 15.655  1.018  0.910  0.475  0.003 0.008 0.007 0.023  2 2 2 1     
   218 -13.453  -0.512 16.497  1.685  1.328  1.054  0.010 0.011 0.015 0.071  2 2 1 1           145 +                         JTP030
   219 -13.446  -6.050 15.989  0.850  0.684  0.190  0.018 0.019 0.018 0.023  2 2 2 1     
   220 -13.435 -10.261 14.380  0.228  0.132  0.067  0.007 0.013 0.012 0.012  2 2 2 2 1572
   221 -13.433   4.649 15.866  1.169  0.988  0.489  0.009 0.017 0.011 0.028  2 2 2 1     
   222 -13.408  -9.555 16.778  0.862  0.665  0.094  0.004 0.015 0.010 0.031  2 2 1 1     
   223 -13.394  18.107 16.513  0.880  0.750  0.158  0.007 0.019 0.008 0.025  2 2 2 1     
   224 -13.385  11.704 16.839  0.850  0.730  0.193  0.012 0.021 0.014 0.030  2 2 1 1     
   225 -13.372  18.723 16.561  0.905  0.815  0.382  0.005 0.014 0.008 0.032  2 2 2 1     
   226 -13.367  11.880 15.938  0.918  0.845  0.458  0.005 0.005 0.011 0.029  2 2 2 1     
   227 -13.355 -14.487 14.361  1.037  0.948  0.590  0.006 0.011 0.007 0.009  2 2 2 1     
   228 -13.344  -7.696 15.937  0.903  0.800  0.274  0.012 0.015 0.013 0.022  2 2 2 1     
   229 -13.293   7.219 15.684  1.374  1.205  1.122  0.003 0.005 0.003 0.042  2 2 2 1     
   230 -13.276  17.531 16.925  0.920  0.791  0.173  0.007 0.013 0.011 0.038  2 2 1 1     
   231 -13.274 -14.508 14.011  0.960  0.866  0.420  0.002 0.005 0.004 0.009  2 2 2 1     
   232 -13.268  -8.061 15.224  1.228  1.118  0.978  0.005 0.006 0.016 0.029  2 2 2 1     
   233 -13.253  16.220 16.638  0.998  0.890  0.568  0.007 0.007 0.008 0.046  2 2 2 1     
   234 -13.246 -12.838 15.671  0.863  0.716  0.191  0.000 0.010 0.010 0.019  2 2 2 1     
   235 -13.231  -2.667 16.959  1.804  1.480  0.000  0.001 0.010 0.014 0.000  2 2 1 0     
   236 -13.229  20.656 16.845  0.954  0.850  0.449  0.012 0.013 0.013 0.054  2 2 2 1     
