# 
# Source: WEBDA
# 
# F1  V vs B-V membership flag
# F2  V vs V-I membership flag
# F3  B-V vs V-I membership flag
# F4  Candidate membership flag
# F5  Binarity flag
# 
# ID    RAh RAm RAs  DE- DEd DEm DEs      V     B-V     V-I  F1 F2 F3 F4 F5
     ID              RAJ2000               DEJ2000     Vmag      B-V      V-I   F1   F2   F3   F4   F5  
    273   118.58192083333331    -60.38245277777778   17.216    0.554    0.745   -1   -1    1   -1    0  
    274          118.5822125    -60.82083611111111    14.64    0.939    1.077    1    1    1    1    0  
    275   118.58222916666665   -61.193330555555555   19.347     0.93    0.947   -1   -1    1   -1    0  
    276   118.58232083333333    -60.46168055555556   15.633    0.643    0.813   -1   -1    1   -1    0  
    277          118.5825375    -60.82891111111111   16.256    1.119    1.279   -1   -1    1   -1    0  
    278   118.58309583333333             -60.50325   19.037    1.188    1.449   -1   -1    1   -1    0  
    279   118.58316666666666   -60.503280555555556   18.826    1.162    1.299   -1   -1    1   -1    0  
    280   118.58317499999998   -60.854147222222224   19.731   -9.999    2.436    0   -1    0   -1    0  
    281   118.58322083333333   -61.094861111111115   18.717    1.639    1.493    1   -1   -1   -1    0  
    282   118.58328333333333    -60.78706944444444   18.132    0.694    1.075   -1   -1   -1   -1    0  
    283   118.58342916666666    -60.94761388888889   19.271   -9.999    1.779    0   -1    0   -1    0  
